Student,StudentID,Standard,Division,EducationYear,TypeOfExam,Malayalam,Tamil,English,Hindi,Math,Science,History,Attendance,Remarks
Adarsh A,200101,1,a,2015-2016,halfyearly,80,,78,70,76,81,80,30/30,Good
Anthony D,200102,1,a,2015-2016,halfyearly,,45,47,34,29,45,51,26/30,Poor
Anitha C,200103,1,a,2015-2016,halfyearly,,60,55,56,51,49,57,26/30,Need Improvement
Ashwini S,200104,1,a,2015-2016,halfyearly,94,,92,90,100,89,93,29/30,Very Good
Binil B,200105,1,a,2015-2016,halfyearly,,45,51,41,47,33,30,27/30,Poor
Binitha X,200106,1,a,2015-2016,halfyearly,70,,72,75,69,72,67,30/30,Good
Baiju J,200107,1,a,2015-2016,halfyearly,,60,55,58,59,63,57,29/30,Need Improvement
Cindrella J,200108,1,a,2015-2016,halfyearly,67,,60,ab,56,71,74,27/30,Dont take leave
Daniel D,200109,1,a,2015-2016,halfyearly,,50,34,31,44,51,45,25/30,Poor
Sruthi R,200110,1,a,2015-2016,halfyearly,67,,72,74,67,78,65,29/30,Good
Anto A,200111,1,b,2015-2016,halfyearly,,54,56,41,33,49,51,28/30,Poor
Anjali A,200112,1,b,2015-2016,halfyearly,78,,81,70,78,81,71,29/30,Good
Anusha B,200113,1,b,2015-2016,halfyearly,,90,94,96,100,87,90,30/30,Impressive
Arvind A,200114,1,b,2015-2016,halfyearly,70,,74,75,78,67,70,30/30,Good
Biju D,200115,1,b,2015-2016,halfyearly,,50,55,60,57,48,61,28/30,Need Improvement
Bindhu B,200116,1,b,2015-2016,halfyearly,80,,76,70,72,78,73,30/30,Good
Reshma R,200117,1,b,2015-2016,halfyearly,,70,75,71,80,77,73,29/30,Good
Rajan R,200118,1,b,2015-2016,halfyearly,,56,55,46,34,56,57,26/30,Poor
Shabu S,200119,1,b,2015-2016,halfyearly,,47,40,31,43,51,56,28/30,Poor
Sajan J,200120,1,b,2015-2016,halfyearly,,56,61,60,67,56,59,27/30,Need Improvement
Anil A,200201,2,a,2015-2016,halfyearly,57,,50,36,46,58,72,30/30,Poor
Amalan A,200202,2,a,2015-2016,halfyearly,73,,78,68,80,72,76,29/30,Good
Angel B,200203,2,a,2015-2016,halfyearly,,80,76,75,71,67,73,30/30,Good
Ankhitha S,200204,2,a,2015-2016,halfyearly,93,,81,83,100,94,95,29/30,Very Good
Bibin B,200205,2,a,2015-2016,halfyearly,45,,36,44,47,23,34,24/30,Poor
Babitha D,200206,2,a,2015-2016,halfyearly,70,,78,72,71,77,63,30/30,Good
