Student,StudentID,Standard,Division,EducationYear,TypeOfExam,Malayalam,Tamil,English,Hindi,Math,Science,History,Attendance,Remarks
Adarsh A,200101,1,a,2015-2016,periodical3,77,,80,70,67,77,72,29/30,Good
Anthony D,200102,1,a,2015-2016,periodical3,,66,62,70,62,61,66,30/30,Good
Anitha C,200103,1,a,2015-2016,periodical3,,60,62,34,30,62,64,27/30,Poor
Ashwini S,200104,1,a,2015-2016,periodical3,94,,94,90,100,92,90,30/30,Very Good
Binil B,200105,1,a,2015-2016,periodical3,,56,44,45,45,56,47,27/30,Need Improvement
Binitha X,200106,1,a,2015-2016,periodical3,75,,80,76,72,69,78,29/30,Good
Baiju J,200107,1,a,2015-2016,periodical3,,66,62,43,67,34,61,30/30,Poor
Cindrella J,200108,1,a,2015-2016,periodical3,60,,56,59,47,62,56,26/30,Need Improvement
Daniel D,200109,1,a,2015-2016,periodical3,,60,55,ab,67,72,60,25/30,Dont take leave
Sruthi R,200110,1,a,2015-2016,periodical3,72,,66,63,71,74,70,30/30,Good
Anto A,200111,1,b,2015-2016,periodical3,,54,43,34,43,37,35,23/30,Poor
Anjali A,200112,1,b,2015-2016,periodical3,90,,94,93,100,92,97,30/30,Impressive
Anusha B,200113,1,b,2015-2016,periodical3,,78,80,79,98,87,81,29/30,Very Good
Arvind A,200114,1,b,2015-2016,periodical3,78,,72,77,80,79,84,30/30,Good
Biju D,200115,1,b,2015-2016,periodical3,,41,44,36,33,51,45,26/30,Poor
Bindhu B,200116,1,b,2015-2016,periodical3,72,,61,64,62,69,71,30/30,Good
Reshma R,200117,1,b,2015-2016,periodical3,,80,72,74,76,62,69,29/30,Good
Rajan R,200118,1,b,2015-2016,periodical3,,50,54,44,37,47,56,28/30,Poor
Shabu S,200119,1,b,2015-2016,periodical3,,45,44,40,30,23,31,26/30,Poor
Sajan J,200120,1,b,2015-2016,periodical3,,70,65,66,67,71,70,30/30,Good
Anil A,200201,2,a,2015-2016,periodical3,70,,78,67,72,63,69,30/30,Good
Amalan A,200202,2,a,2015-2016,periodical3,56,,34,54,49,53,56,26/30,Poor
Angel B,200203,2,a,2015-2016,periodical3,,78,76,77,80,69,80,28/30,Good
Ankhitha S,200204,2,a,2015-2016,periodical3,96,,88,89,96,90,81,30/30,Very Good
Bibin B,200205,2,a,2015-2016,periodical3,56,,55,41,33,54,55,28/30,Poor
Babitha D,200206,2,a,2015-2016,periodical3,60,,56,55,60,61,57,26/30,Need Improvement
